prb_id,src_addr,type_addr,region,cc,asn_4,asn_6,prefix_4,prefix_6,rtt,min,max,avg
1000362,2001:470:5926:33::1,IPv6,ripe,CZ,12570,6939,213.211.32.0/19,2001:470::/32, 15.374695,15.374695,38.558702,23.5253036667
1000362,2001:470:5926:33::1,IPv6,ripe,CZ,12570,6939,213.211.32.0/19,2001:470::/32, 38.558702,15.374695,38.558702,23.5253036667
1000362,2001:470:5926:33::1,IPv6,ripe,CZ,12570,6939,213.211.32.0/19,2001:470::/32,  16.642514,15.374695,38.558702,23.5253036667
1000431,2a01:11:9200:2::133,IPv6,ripe,PT,2860,2860,109.49.128.0/18,2a01:10::/29, 8.976357,6.638372,9.995129,8.5366193333
1000431,2a01:11:9200:2::133,IPv6,ripe,PT,2860,2860,109.49.128.0/18,2a01:10::/29, 6.638372,6.638372,9.995129,8.5366193333
1000431,2a01:11:9200:2::133,IPv6,ripe,PT,2860,2860,109.49.128.0/18,2a01:10::/29,  9.995129,6.638372,9.995129,8.5366193333
1001434,2a01:75c0:1000:160:a82d:24ff:feaa:3fc4,IPv6,ripe,DE,199284,199284,178.19.226.0/23,2a01:75c0:1000::/36, 12.406799,12.406799,12.461217,12.4425573333
1001434,2a01:75c0:1000:160:a82d:24ff:feaa:3fc4,IPv6,ripe,DE,199284,199284,178.19.226.0/23,2a01:75c0:1000::/36, 12.459656,12.406799,12.461217,12.4425573333
1001434,2a01:75c0:1000:160:a82d:24ff:feaa:3fc4,IPv6,ripe,DE,199284,199284,178.19.226.0/23,2a01:75c0:1000::/36,  12.461217,12.406799,12.461217,12.4425573333
1003964,2a05:d018:14a9:851c:c4f5:486c:fd8a:325f,IPv6,ripe,IE,16509,16509,52.30.0.0/15,2a05:d018:1000::/36, 1.241364,1.241364,1.306192,1.2689656667
1003964,2a05:d018:14a9:851c:c4f5:486c:fd8a:325f,IPv6,ripe,IE,16509,16509,52.30.0.0/15,2a05:d018:1000::/36, 1.306192,1.241364,1.306192,1.2689656667
1003964,2a05:d018:14a9:851c:c4f5:486c:fd8a:325f,IPv6,ripe,IE,16509,16509,52.30.0.0/15,2a05:d018:1000::/36,  1.259341,1.241364,1.306192,1.2689656667
1003981,2a05:d01a:a41:611c:a70e:72ed:e5cc:7c0e,IPv6,ripe,IT,16509,16509,15.161.0.0/16,2a05:d01a:800::/38, 10.864698,10.864698,10.936132,10.8960143333
1003981,2a05:d01a:a41:611c:a70e:72ed:e5cc:7c0e,IPv6,ripe,IT,16509,16509,15.161.0.0/16,2a05:d01a:800::/38, 10.936132,10.864698,10.936132,10.8960143333
1003981,2a05:d01a:a41:611c:a70e:72ed:e5cc:7c0e,IPv6,ripe,IT,16509,16509,15.161.0.0/16,2a05:d01a:800::/38,  10.887213,10.864698,10.936132,10.8960143333
1004961,2a00:23c8:5498:3405:868:156a:d006:b0e9,IPv6,ripe,GB,2856,2856,109.144.0.0/12,2a00:2380::/25, 4.179402,3.976754,4.179402,4.09705
1004961,2a00:23c8:5498:3405:868:156a:d006:b0e9,IPv6,ripe,GB,2856,2856,109.144.0.0/12,2a00:2380::/25, 4.134994,3.976754,4.179402,4.09705
1004961,2a00:23c8:5498:3405:868:156a:d006:b0e9,IPv6,ripe,GB,2856,2856,109.144.0.0/12,2a00:2380::/25,  3.976754,3.976754,4.179402,4.09705
10770,2a02:168:5a3f:128:a2f3:c1ff:fec4:5c29,IPv6,ripe,CH,13030,13030,212.51.144.0/20,2a02:168::/32, 1.882376,1.882376,1.950181,1.904994
10770,2a02:168:5a3f:128:a2f3:c1ff:fec4:5c29,IPv6,ripe,CH,13030,13030,212.51.144.0/20,2a02:168::/32, 1.882425,1.882376,1.950181,1.904994
10770,2a02:168:5a3f:128:a2f3:c1ff:fec4:5c29,IPv6,ripe,CH,13030,13030,212.51.144.0/20,2a02:168::/32,  1.950181,1.882376,1.950181,1.904994
15448,2a10:3781:a98:0:6666:b3ff:feb0:bc92,IPv6,ripe,NL,206238,206238,45.137.88.0/22,2a10:3780::/29, 4.022052,4.022052,4.132642,4.0668073333
15448,2a10:3781:a98:0:6666:b3ff:feb0:bc92,IPv6,ripe,NL,206238,206238,45.137.88.0/22,2a10:3780::/29, 4.132642,4.022052,4.132642,4.0668073333
15448,2a10:3781:a98:0:6666:b3ff:feb0:bc92,IPv6,ripe,NL,206238,206238,45.137.88.0/22,2a10:3780::/29,  4.045728,4.022052,4.132642,4.0668073333
19723,2001:1c04:3c09:e100:c24a:ff:fecc:6b1c,IPv6,ripe,NL,33915,33915,82.72.0.0/15,2001:1c00::/24, 15.295015,13.612201,15.71868,14.8752986667
19723,2001:1c04:3c09:e100:c24a:ff:fecc:6b1c,IPv6,ripe,NL,33915,33915,82.72.0.0/15,2001:1c00::/24, 15.71868,13.612201,15.71868,14.8752986667
19723,2001:1c04:3c09:e100:c24a:ff:fecc:6b1c,IPv6,ripe,NL,33915,33915,82.72.0.0/15,2001:1c00::/24,  13.612201,13.612201,15.71868,14.8752986667
2252,2a01:2a8:0:fffe:220:4aff:fee0:2271,IPv6,ripe,CH,1836,1836,146.228.0.0/16,2a01:2a8::/29, 8.372739,3.300097,63.228685,24.9671736667
